record_id,Count (classes),Count (horses),trainer,trainers,source,horse,horses,Count (entries),rider_display,rec_id,entries,rider,entry_go_times,wec-alerts,class_oog,class_oog copy,class_results,cwf
recAMgqGRAz57OiAs,4,1,Alan Korotkin,"[""recFIHTcArQhILyAc""]",class_oog,La La Land,"[""recA2tEY30b7N3UP1""]",1,Grace,recAMgqGRAz57OiAs,"[""reckgkIWQJ2f09WP9""]",Grace Lyons,"[""rec4zVR0Dj563Savi"",""recIj8qC8Tm1aLVZw"",""reckCrRGfMWbbvPkj""]","[""recTeqRS6Bib3sW5s"",""recM5E4Jy5ow074g5""]","[""recb3qmih1jDyoQKG"",""rec4BtKWHPtNPK57H"",""rec7YdmSwN9GSq5Yh"",""rec9LrcqTlbvqVmPH""]","[""recriw5Jt9fDsyk7J"",""recM9FR79XkcNTFdh"",""recVwJ1Z1qLVmCyeU""]",,true
recAOcQC7VSiD7LHH,0,1,Madison Daughdrill,"[""recQXTpW29gQ8CQhu""]",class_oog,Talk To Me Goose,"[""recq3BKm9HA4MWzjy""]",1,Lyla,recAOcQC7VSiD7LHH,"[""recyVcaLOvsk1Ik1S""]",Lyla Payne,,,,,,
recAV58cJTpaxDTN6,0,1,Lindsay Barrack,"[""recHOVfz50z5VV3gG""]",class_oog,The Real Slim Shady,"[""recaYyJQOHDxaXVWG""]",1,Elleana,recAV58cJTpaxDTN6,"[""recMlcP9J5BfsR5Nh""]",Elleana Bender,,,,,,
recAVN8QWh2A6nZOL,0,2,David Cameron,"[""recV9UeEpcw6UDEM9""]",class_oog,Yalambis Ikon,"[""recBVMDEeKtclY2YM"",""recA5qCmRLMk98Xr4""]",1,Maddison,recAVN8QWh2A6nZOL,"[""recfyOAWYulsQNwCK""]",Maddison Stephen,,,,,,
recAVWkAQVv9aBNJj,0,1,Manuel G. Torres,"[""recIorvNwvWPlOR66""]",class_oog,Karlotta Cl,"[""rectB9IQVZ59gCD5j""]",1,Alejandra,recAVWkAQVv9aBNJj,"[""recAUNBS3GXlJCmZj""]",Alejandra Ortiz Orozco,,,,,,
recAe7S3iuE2LSdMM,0,1,Juan M. Bolanos,"[""reciQqSfWbMiP5zxf""]",class_oog,Kali,"[""recZYvMb7PsuQ9hBI""]",1,Mireya,recAe7S3iuE2LSdMM,"[""rec1K7ICEFCibF2DT""]",Mireya Godoy,,,,,,
recAfTlChemRxsLKj,0,1,Madison Daughdrill,"[""recQXTpW29gQ8CQhu""]",class_oog,Shenandoah East Wind,"[""recHDwKXte9oVke6e""]",0,Leena,recAfTlChemRxsLKj,,Leena Rivera,,,,,,
recAgHM50DSJcxYoF,0,5,Traci A. Weston,"[""rec6szCleq8yE3JIq""]",class_oog,Nightfall,"[""rec8CE9tachZAQASt"",""reca5o7UX35J1yh7a"",""recjy8Rsai0b6rh1D"",""recKrZPlpWjBkk4xk"",""recofiVV7xeLAUHgS""]",5,Windsor,recAgHM50DSJcxYoF,"[""recLT7QRZdjY1XWGU"",""recnjpJmwjKOEdE4N"",""recKBQJJB72VmxEj9"",""recHZbJYccRY2KuMe"",""rec41PNz3aD0mIrBn""]",Windsor Ryan,,,,,,
recAmZSREqpAqaQ5C,0,1,David Cameron,"[""recV9UeEpcw6UDEM9""]",class_oog,Chriszi,"[""recSe2WllVQ8pL1bb""]",1,David,recAmZSREqpAqaQ5C,"[""recsKorlosWuL3nkw""]",David Cameron,,,,,,
recAxawahZ8fxICUO,0,1,Darragh Kerins,"[""recOdyCszUe4VTxPo""]",class_oog,Diamant Joe,"[""recqDNugtAgCap3cd""]",1,Annie,recAxawahZ8fxICUO,"[""reccw0MYAF5N4ys2S""]",Annie Ashton,,,,,,
recAy1BXpYpPWq8FE,0,1,Daniela Roy,"[""rec2F4zRJZGDzG0M2""]",class_oog,Out Of The Blue,"[""reclEAQfewD0vwoWG""]",1,Mona,recAy1BXpYpPWq8FE,"[""recpQXvg7DeD84UtF""]",Mona Bettant,,,,,,
recB24KD5cfFLAQLQ,0,2,Pablo J. Barrios,"[""recotkhuiB65Mp1KD""]",class_oog,Noucka Ut Frankryk,"[""recC1LlZr1GscmlPI"",""rechm45MuC2WZQbuW""]",2,Juan,recB24KD5cfFLAQLQ,"[""rechhDd96Tr0FRqYz"",""recC24kVXhDADHYQG""]",Juan Vegas,,,,,,
recB4QCufSOyEq6bx,0,1,Lauren Schweppe,"[""recWb8kIRsV2w5Zj9""]",class_oog,Otto Pilot,"[""recRf3B5ZIsl6PIJq""]",0,Jennifer,recB4QCufSOyEq6bx,,Jennifer Giovino,,,,,,
recB5Plz99xL18UVe,0,1,Robert Mendoza,"[""recc7BtlSMC456iwd""]",class_oog,Gotham De Chalusse,"[""recdt9wD4XES6iQOA""]",0,Traci,recB5Plz99xL18UVe,,Traci Ribeiro,,,,,,
recBNTGE25Iu0b3a6,0,1,Stephanie Free,"[""recBVRfeR9i4COiwE""]",class_oog,Just A Gentleman,"[""recsiWMC8ERjkzsor""]",0,Victoria,recBNTGE25Iu0b3a6,,Victoria Free Knott,,,,,,
recBNoi4NI4sHMozS,0,1,Jasmine Walsh,"[""recI1AZhpQDfY3cRY""]",class_oog,Conchita Blue Ps,"[""recE2bq8oN5PjNRxW""]",1,Julianne,recBNoi4NI4sHMozS,"[""recCq52WuubpC3gZ0""]",Julianne Lurie,,,,,,
recBT5NSSosYjYJEA,0,1,Wendy J. Hechler,"[""rec1I0IvFKaYQa6K4""]",class_oog,Amuze Bouche,"[""reca7kq3xJU6MLy9R""]",0,Wendy,recBT5NSSosYjYJEA,,Wendy J. Hechler,,,,,,
