record_id,entry_no,rec_id,Created,horse,trainer,horse_display (from horses),horses,source,rider,riders,rider_display (from riders),trainers,trainer_display (from trainers),barn_name,entry_go_times,wec-alerts,class_oog,class_oog_staging,get_orders,get_rings,class_results,get_rings 2,get_orders 2,wec_entry_comments,wec_class_comments,wec_comment_presets,wec_question_templates,wec_sessions,wec_comments,wec_ring_checkins,waze_users,wec_observations,wec_ring_comments
rec1h9tikxncztApt,1767,rec1h9tikxncztApt,2026-06-09T23:09:50.000Z,Gotham De Chalusse,Robert Mendoza,[null],"[""recdt9wD4XES6iQOA""]",class_oog.php,Robert Mendoza,"[""recTDMo7hqCpuyKDo""]","[""Robert""]","[""recc7BtlSMC456iwd""]",,,,,,,,,,,,,,,,,,,,,
rec1jsiwNJbaqTry3,2190,rec1jsiwNJbaqTry3,2026-06-11T11:39:23.000Z,Kennedy,Kathryn Delaney,[null],"[""recJVg3nk3gtSYaoh""]",class_oog,Izabella Zourdos,"[""rec8mL4WnVntpQaTA""]","[""Izabella""]","[""recpwhIril531ls02""]",,,,,,,,,,,,,,,,,,,,,
rec1kzOSCYINSWMgd,2385,rec1kzOSCYINSWMgd,2026-06-11T11:39:24.000Z,Casa Quo Vadis,Lisa Hasenbeck,[null],"[""rec3nHv51hRLMYzq9""]",class_oog,Grace Harrison,"[""rec6qb1pnoFynbJWM""]","[""Grace""]","[""recSN0eF04okgAD8J""]",,,,,,,,,,,,,,,,,,,,,
rec1lKnKR3RPfdhK4,3638,rec1lKnKR3RPfdhK4,2026-07-01T17:15:34.000Z,Kiss The Girl,,,,get_rings.php,,,,,,,,,,,,,,,,,,,,,,,,,
rec1oM5ee7kSk9If7,1088,rec1oM5ee7kSk9If7,2026-06-09T23:09:50.000Z,Titan,Conan Conway,[null],"[""recBAKR7ORMahR0y8""]",class_oog,Mckenzie Miller,"[""recQXT3tHMHJl4tss""]","[""Mckenzie""]","[""recS9EfEO0iZet31e""]",,,,,,,,,,,,,,,,,,,,,
rec1skbI5S4rMKr3H,171,rec1skbI5S4rMKr3H,2026-06-15T13:18:53.000Z,Chardonnay,Tammy Blanchette,[null],"[""recdKcSqDpopwsIiG""]",class_oog,Robert Blanchette,"[""recPnQqnbJEkMT3dY""]","[""Robert""]","[""recDlEaFgkwZNWGL7""]",,,,,,,,,,,,,,,,,,,,,
rec1uKd2hbaxLdGQz,3410,rec1uKd2hbaxLdGQz,2026-06-18T14:46:42.000Z,Marley,,[null],"[""rec52GtGTUCgWvmqV""]",get_rings.php,,,,,,,,,,,,,,,,,,,,,,,,,
rec1v4wlYLNcNIVGe,1441,rec1v4wlYLNcNIVGe,2026-06-09T23:09:50.000Z,Princeton Mk,Matthew Le Master,[null],"[""rectmJGqLMNFrXHew""]",class_oog,Olivia Gaul,"[""reclZ2ykwhfdNmr2p""]","[""Olivia""]","[""recN9E8BVaEfvKU1x""]",,,,,,,,,,,,,,,,,,,,,
rec1zG5BsIopNkvgJ,1679,rec1zG5BsIopNkvgJ,2026-06-09T23:09:50.000Z,Tarzan Z,Juan A. Rodriguez Silva,[null],"[""recZ6iaaYpLDnhB5c""]",class_oog.php,Ana Cristina Rodriguez,"[""rec6O8cJ48p1djCBY""]","[""Ana""]","[""reclu4ZfxeCUoDgLA""]",,,,,,,,,,,,,,,,,,,,,
rec20ehq3ynW6QPW7,2541,rec20ehq3ynW6QPW7,2026-06-11T11:39:23.000Z,Fireball,Mario Garcia,[null],"[""recMLDHtQ10Ghfjmx""]",class_oog,Lucas Garcia,"[""recH6p1VUgxnUtntJ""]","[""Lucas""]","[""recgLDs1PX5pujyno""]",,,,,,,,,,,,,,,,,,,,,
rec26JITyiE4sJMw9,2348,rec26JITyiE4sJMw9,2026-06-09T23:09:50.000Z,Cupido De Jolie Z,Katlynn Butler,[null],"[""recG8UFeNEruW0qAM""]",class_oog.php,Katlynn Butler,"[""recPB7WI5VyV8QMB2""]","[""Katlynn""]","[""recmCyrv5t0l7hgsj""]",,,,,,,,,,,,,,,,,,,,,
rec26u95qyoi4Zpdx,2573,rec26u95qyoi4Zpdx,2026-06-09T23:09:50.000Z,Ballyforan,Patrick R. Wilcher,[null],"[""recGW7jYrtptrUNcd""]",class_oog,Teresa Martinoli,"[""recfhXiw51cMvZnpT""]","[""Teresa""]","[""recU1AQcmSYuCkBtn""]",,,,,,,,,,,,,,,,,,,,,
rec2C8xe0wSoPWTi8,1092,rec2C8xe0wSoPWTi8,2026-06-11T11:39:21.000Z,Over Ruled,Alison Jones,[null],"[""rectcXl4IsH5z4yo7""]",class_oog.php,Isabella Keyman,"[""reclWXLaY1toeG4F0""]","[""Isabella""]","[""reccPpBL4rQYdBMJP""]",,,,,,,,,,,,,,,,,,,,,
rec2GEDCLqOTD54WW,3217,rec2GEDCLqOTD54WW,2026-06-21T15:18:56.000Z,Sy,,[null],"[""rec2ELBMWvooYut9j""]",get_rings.php,,,,,,,,,,,,,,,,,,,,,,,,,
rec2I74RoLLuXjE0g,2086,rec2I74RoLLuXjE0g,2026-06-13T00:10:27.000Z,Psu Krymsun Blue Sky,Madison Daughdrill,[null],"[""recEMsh99Wax4krPL""]",class_oog,Isabella Adams,"[""recG4gQUnXvzjTpbP""]","[""Isabella""]","[""recQXTpW29gQ8CQhu""]",,,,,,,,,,,,,,,,,,,,,
rec2LVSvJYCzH6ntu,1021,rec2LVSvJYCzH6ntu,2026-06-09T23:09:50.000Z,Rover,Michael K. Kennedy,[null],"[""recnxF20aOrGakXwz""]",class_oog.php,Kelly Prather,"[""recER3fldSHgHdZie""]","[""Kelly""]","[""recKPpIDSj1ofUcQV""]",,,,,,,,,,,,,,,,,,,,,
rec2QkcnyX1waK5ev,1591,rec2QkcnyX1waK5ev,2026-06-09T23:09:50.000Z,Irish Coffee Vhl,Alan Korotkin,"[""Coffee""]","[""rec2Rw1goWbDfGT2R""]",class_oog,Iliana Palumbo,"[""recGRLrIrLGE485c5""]","[""Iliana""]","[""recFIHTcArQhILyAc""]","[""CWF""]","[""Coffee""]","[""recUKoTBXkNCBMgn1""]","[""recsP2eRFxG453786"",""recfKBWZgoMszlEQR"",""recbV2O8jlSqhBwLT""]","[""recXSue955mdSudfZ""]","[""rec0H98knsVwMXN5w""]",,,"[""recMMMFaoQQnL5Xjv""]",,,,,,,,,,,,
rec2SnUDTF5XK7afR,2294,rec2SnUDTF5XK7afR,2026-06-09T23:09:50.000Z,Onetta Vd Fruitkorf Z,Declan Egan,[null],"[""rec8FJLMG4nFMBNat""]",class_oog,Bailey P. Tims-Ferira,"[""recyB7G0HT109oTGz""]","[""Bailey""]","[""recGOZOt71dcEAmvp""]",,,,,,,,,,,,,,,,,,,,,
rec2XKiZ3N0mE6REQ,2894,rec2XKiZ3N0mE6REQ,2026-06-18T14:46:42.000Z,Try Me,,[null],"[""reccHaz9cRHBr3krn""]",get_rings.php,,,,,,,,,,,,,,,,,,,,,,,,,
rec2aORsCT9oH5I42,3181,rec2aORsCT9oH5I42,2026-06-21T13:21:51.000Z,Smeagle Van't Eigenlo,,[null],"[""recBeXpaxZMNw7dPJ""]",get_rings.php,,,,,,,,,,,"[""recRXgPvbOkZdxBa9""]","[""rec7DGnas5UE7cU5w""]",,,,,,,,,,,,,
rec2alpWgee7dQAmr,2393,rec2alpWgee7dQAmr,2026-06-09T23:09:50.000Z,United's Choice,Dana Ventrice,[null],"[""rec8wn8t29fBjKEVL""]",class_oog.php,Dana Ventrice,"[""reciw6rXmSt6wROlN""]","[""Dana""]","[""rect7nOXb9JImTCcP""]",,,,,,,,,,,,,,,,,,,,,
rec2baIfOEJG63TMM,2720,rec2baIfOEJG63TMM,2026-06-09T23:09:50.000Z,Espresso,Sven Frei,[null],"[""recanS0gIFgb7M0um""]",class_oog,Molly Frei,"[""recUFm6Wapo7Qrf6n""]","[""Molly""]","[""rechQszLeuxBMYqll""]",,,,,,,"[""rec4OXs06Nxdv4gVg""]","[""recd0MR6a7k5HgHzX""]",,"[""recd0MR6a7k5HgHzX""]","[""rec4OXs06Nxdv4gVg""]",,,,,,,,,,
rec2c2MFlF74J1ChD,1072,rec2c2MFlF74J1ChD,2026-06-11T11:39:26.000Z,Volodia D'argouges,Daniela Roy,[null],"[""recTZCcQOTJ1RasLn""]",class_oog.php,Clara Vidal,"[""recXSff0neRglrRwx""]","[""Clara""]","[""rec2F4zRJZGDzG0M2""]",,,,,,,,,,,,,,,,,,,,,
rec2cDkWFGecuTXv5,1933,rec2cDkWFGecuTXv5,2026-06-11T11:39:22.000Z,Caligua,Jamie Reinheimer,[null],"[""rec81uY66ycE88wYH""]",class_oog,Janie Stevenson,"[""recOGT7wK06oAdsHU""]","[""Janie""]","[""recueBhFGFi7LFglR""]",,,,,,,,,,,,,,,,,,,,,
rec2eUucGK8LzHAZi,2493,rec2eUucGK8LzHAZi,2026-06-19T12:52:13.000Z,In Clover,,[null],"[""recjI8bn07YCHnfgg""]",get_rings.php,,,,,,,,,,,,,,,,,,,,,,,,,
rec2hsK2SEMEvJsQF,3039,rec2hsK2SEMEvJsQF,2026-06-09T23:09:50.000Z,Billy Adorable,Morgan Taylor,[null],"[""recSAm7W6nYfSQB4U""]",class_oog.php,Sophie Smith,"[""recgDIs2S8W0GaeCz""]","[""Sophie""]","[""rec0wCs5ZzmAW8kSL""]",,,,,,,,,,,,,,,,,,,,,
rec2kXWkfpJjysxto,2903,rec2kXWkfpJjysxto,2026-06-18T16:04:13.000Z,Calisto Di Montie Z,,[null],"[""recUDJiMZRVj2dyqz""]",get_rings.php,,,,,,,,,,,,,,,,,,,,,,,,,
rec2oJQmqDACrFDkO,1202,rec2oJQmqDACrFDkO,2026-06-12T15:15:41.000Z,Quizmaster,Kacey Conway,[null],"[""rec2p6xS8sgo9c9mo""]",class_oog,Lainey Lovell,"[""rec2dwRqXzc72yGn6""]","[""Lainey""]","[""recYF9eSOEpYZn4Ko""]",,,,,,,,,,,,,,,,,,,,,
rec2vyepthImFfxd5,2743,rec2vyepthImFfxd5,2026-06-20T12:54:42.000Z,Stoli,,[null],"[""rec6xd4BZfarnJ39b""]",get_rings.php,,,,,,,,,,,"[""recttEd7SDmHuFD4M""]","[""recVcVtpWTMIMROE4""]",,,,,,,,,,,,,
rec2ycsr5WvP5uEld,1101,rec2ycsr5WvP5uEld,2026-06-11T11:39:23.000Z,Quido,Morgan Taylor,[null],"[""rec8d4baTtu7H8kBN""]",class_oog,Reya Popat,"[""recrf7PgKC15AUlP3""]","[""Reya""]","[""rec0wCs5ZzmAW8kSL""]",,,,,,,,,,,,,,,,,,,,,
rec32qsqLuGDJ9aQ7,1766,rec32qsqLuGDJ9aQ7,2026-06-09T23:09:50.000Z,Diatendra,Robert Mendoza,[null],"[""reccCKcFj7yR73Nd9""]",class_oog.php,Robert Mendoza,"[""recTDMo7hqCpuyKDo""]","[""Robert""]","[""recc7BtlSMC456iwd""]",,,,,,,,,,,,,,,,,,,,,
rec36l8EG5RpAgroN,1109,rec36l8EG5RpAgroN,2026-06-09T23:09:50.000Z,Odilon,Jessica Cross,[null],"[""recMUv5LPHiKQF8o6""]",class_oog,Soleil Katsur,"[""recZ2J6OAJ9QD4wY1""]","[""Soleil""]","[""recUpaBE2IKFd0lXw""]",,,,,,,,,,,,,,,,,,,,,
rec37oaBKQnkXuFLX,2236,rec37oaBKQnkXuFLX,2026-06-19T13:45:33.000Z,Custom Fit,,[null],"[""rec4jRg2BvPAsN6mP""]",get_rings.php,,,,,,,,,,,,,,,,,,,,,,,,,
rec3AjH1MdATg46Lv,1676,rec3AjH1MdATg46Lv,2026-06-12T17:24:26.000Z,Nashua,Juan A. Rodriguez Silva,[null],"[""rectXKZJ2uS9ebTXx""]",class_oog.php,Natalia Perez,"[""recwg7qokrsfkrqNT""]","[""Natalia""]","[""reclu4ZfxeCUoDgLA""]",,,,,,,,,,,,,,,,,,,,,
rec3Ajj0at5slKfYA,2736,rec3Ajj0at5slKfYA,2026-06-09T23:09:50.000Z,Olimpink Melloni,Timothy Maddrix,[null],"[""reciSVHSq448vSyrP""]",class_oog.php,Timothy Maddrix,"[""rec50cOyj9krr4nq5""]","[""Timothy""]","[""recQUXHjJZbV57FsH""]",,,,,,,,,,,,,,,,,,,,,
rec3DpKWemv7a6IRn,2173,rec3DpKWemv7a6IRn,2026-06-09T23:09:50.000Z,Danilo Khr,Megan Gardiner,[null],"[""recJZ3UqYKN7EYxcf""]",class_oog.php,Megan Gardiner,"[""recduOMJhv4KgHjFF""]","[""Megan""]","[""recfC6qStEmrNdY3c""]",,,,,,,,,,,,,,,,,,,,,
rec3FAchzIv5xBucH,1707,rec3FAchzIv5xBucH,2026-06-09T23:09:50.000Z,Ally Z,Anne L. Bingler,[null],"[""rectRnnwj6xwJANwa""]",class_oog.php,Anne L. Bingler,"[""rechuzUPNLOsASgzX""]","[""Anne""]","[""rec3S9KikkQrKgX8L""]",,,,,,,,,,,,,,,,,,,,,
rec3K75aukCEzb49g,1682,rec3K75aukCEzb49g,2026-06-09T23:09:50.000Z,Allegra Van Het Eikenhof Z,Jessica Collins,[null],"[""recWwCPXi147FCMIS""]",class_oog.php,Aria Collins,"[""recbTZTntK2RVTp2c""]","[""Aria""]","[""recNpo5pbhuzTKAIi""]",,,,,,,,,,,,,,,,,,,,,
rec3MT7xCq5XAhkoB,1916,rec3MT7xCq5XAhkoB,2026-06-09T23:09:50.000Z,Hhf Levison's Pride,Bryce P. Richardson,[null],"[""recalUO9JWVQ9R4oD""]",class_oog.php,Bryce P. Richardson,"[""recmy93tzMkYZukPY""]","[""Bryce""]","[""rectIwXBJfkrEAaOG""]",,,,,,,,,,,,,,,,,,,,,
rec3Me0gpJHib7Ibm,2017,rec3Me0gpJHib7Ibm,2026-06-12T17:24:26.000Z,United Del Coco,Julia Worden,[null],"[""recd0U1K0KpXErnJz""]",class_oog.php,Julia Worden,"[""receBFuBzYlXyUiqp""]","[""Julia""]","[""recNOjlJkQLR1qWTQ""]",,,,,,,,,,,,,,,,,,,,,
