record_id,class_visual_key,ring_visual_key,class_start_time,focus_day,Created,class_name,status,class_no,class_start_key,last_synced_at,show_no,ring_name_normalized,ring_name,ring_no,ring_day_no,class_number,entry_count,display_time,live_source
recrk2RHbi2Va61xD,indoor_5|26846,643|indoor_5,10:45:00,2026-07-03,2026-07-03T19:51:41.000Z,.85m Jumper Open II.2d,active,26846,indoor_5|26846,2026-07-03 20:06:20,14909,indoor 5,Indoor 5 - Cassie Goebel,643,3598,619,15,10:45 am,hs_update_schedule.step4_runtime_prep
rectPv3oZg4F9Vv0d,indoor_6|26803,642|indoor_6,09:15:00,2026-07-03,2026-07-03T19:51:41.000Z,1.10m Amateur Jumper II.1,active,26803,indoor_6|26803,2026-07-03 20:06:20,14909,indoor 6,Indoor 6 - Brandon Serpico,642,3592,755,15,9:15 am,hs_update_schedule.step4_runtime_prep
rectsbhfo5k7QrptK,indoor_5|26966,643|indoor_5,13:15:00,2026-07-03,2026-07-03T19:51:41.000Z,1.00m Jumper II.2b,active,26966,indoor_5|26966,2026-07-03 20:06:20,14909,indoor 5,Indoor 5 - Cassie Goebel,643,3598,629,12,1:15 pm,hs_update_schedule.step4_runtime_prep
rectz4Z7RZapNXSZw,indoor_2|26903,645|indoor_2,08:45:00,2026-07-03,2026-07-03T19:51:42.000Z,Adult Equitation 3',active,26903,indoor_2|26903,2026-07-03 20:06:20,14909,indoor 2,Indoor 2 - Jo Walker,645,3610,509,10,8:45 am,hs_update_schedule.step4_runtime_prep
recuIsnoqmODtocYk,indoor_2|26936,645|indoor_2,08:00:00,2026-07-03,2026-07-03T19:51:42.000Z,THIS Adult Medal 3',active,26936,indoor_2|26936,2026-07-03 20:06:20,14909,indoor 2,Indoor 2 - Jo Walker,645,3610,547,8,8:00 am,hs_update_schedule.step4_runtime_prep
recuXhQymanAxgdpF,grand|26791,640|grand,23:45:00,2026-07-03,2026-07-03T14:00:29.000Z,1.30m Junior/Amateur Jumper II.1,active,26791,grand|26791,2026-07-03 20:06:20,14909,grand,WEC Grand Arena - Nate Poliquin,640,3580,775,25,11:45 pm,hs_update_schedule.step4_runtime_prep
recvF9tjt0aTNMFZj,indoor_5|27083,643|indoor_5,09:00:00,2026-07-03,2026-07-03T19:51:41.000Z,.75m Jumper Open IV.1,active,27083,indoor_5|27083,2026-07-03 20:06:20,14909,indoor 5,Indoor 5 - Cassie Goebel,643,3598,607,17,9:00 am,hs_update_schedule.step4_runtime_prep
recy4R0C2g437MOGY,indoor_2|26902,645|indoor_2,11:30:00,2026-07-03,2026-07-03T19:51:41.000Z,Equitation 15-17 Flat,active,26902,indoor_2|26902,2026-07-03 20:06:20,14909,indoor 2,Indoor 2 - Jo Walker,645,3610,508,4,11:30 am,hs_update_schedule.step4_runtime_prep
recyPXxlH53p3z9vs,indoor_4|26750,747|indoor_4,09:00:00,2026-07-03,2026-07-03T19:51:42.000Z,USHJA Hunter 2' U/S,active,26750,indoor_4|26750,2026-07-03 20:06:20,14909,indoor 4,Indoor 4 - Lucy Bolton,747,4320,259,10,9:00 am,hs_update_schedule.step4_runtime_prep
recz7OQvW625BRJwv,indoor_4|26915,747|indoor_4,11:45:00,2026-07-03,2026-07-03T19:51:42.000Z,Pony Equitation 2'3,active,26915,indoor_4|26915,2026-07-03 20:06:20,14909,indoor 4,Indoor 4 - Lucy Bolton,747,4320,521,2,11:45 am,hs_update_schedule.step4_runtime_prep
