record_id,entry_count,source_payload,show_no,ring_no,oc_id,focus_day_key,show_focus_key,run_id,date_text,ring_day_no,iso_date,event_type,source_endpoint,class_name,live_flag,event_id,ring_name,heartbeat_id,update_schedule_key,class_no,Last Modified,event_name,focus_day,hs_heartbeat,class_number,time_text,class_payout,test,test_date
recVcutOSETBbeOhh,3,"{""event_id"":""65144"",""data_class"":""35272"",""data_name"":""9021) Ticket School- Friday I- 4 until 2:30pm Xrails 1:30pm-2:30pm"",""data_time"":"""",""data_entries"":""3""}",14909,747,0,20260703,14909|20260703,wec-step1-20260703T200602397Z-step2,"Friday, July 3, 2026",4320,2026-07-03,1,update_schedule.php,Ticket School- Friday I- 4 until 2:30pm Xrails 1:30pm-2:30pm,false,65144,Indoor 4 - Lucy Bolton,14909|2026-07-03|wec-step1-20260703T200602397Z-step2,14909|35272,35272,2026-07-03T18:24:18.000Z,9021) Ticket School- Friday I- 4 until 2:30pm Xrails 1:30pm-2:30pm,2026-07-03,,9021,,,true,
recWlAL2IoApv5m4B,0,"{""event_id"":""65130"",""data_class"":""0"",""data_name"":""Course Walk/Hand Walk 15 Minutes"",""data_time"":"""",""data_entries"":""0""}",14909,644,0,20260703,14909|20260703,wec-step1-20260703T200602397Z-step2,"Friday, July 3, 2026",3604,2026-07-03,5,update_schedule.php,Course Walk/Hand Walk 15 Minutes,false,65130,Indoor 1- Sarah Haas,14909|2026-07-03|wec-step1-20260703T200602397Z-step2,14909|3604|65130,0,2026-07-03T04:00:11.000Z,Course Walk/Hand Walk 15 Minutes,2026-07-03,,,,,,
recX6Ekyxhz09PeuP,2,"{""event_id"":""63430"",""data_class"":""26919"",""data_name"":""525) Children's Pony Equitation 2'6"",""data_time"":""11:15 am"",""data_entries"":""2""}",14909,747,0,20260703,14909|20260703,wec-step1-20260703T200602397Z-step2,"Friday, July 3, 2026",4320,2026-07-03,1,update_schedule.php,Children's Pony Equitation 2'6,false,63430,Indoor 4 - Lucy Bolton,14909|2026-07-03|wec-step1-20260703T200602397Z-step2,14909|26919,26919,2026-07-03T15:54:19.000Z,525) Children's Pony Equitation 2'6,2026-07-03,"[""rec8lQxGIu1Nk0uoX""]",525,11:15 am,,true,
recXhqPgDaLnqwCf5,8,"{""event_id"":""59920"",""data_class"":""26800"",""data_name"":""749) $500 1.10m Junior Jumper II.1"",""data_time"":""9:15 am"",""data_entries"":""8""}",14909,642,0,20260703,14909|20260703,wec-step1-20260703T200602397Z-step2,"Friday, July 3, 2026",3592,2026-07-03,1,update_schedule.php,1.10m Junior Jumper II.1,false,59920,Indoor 6 - Brandon Serpico,14909|2026-07-03|wec-step1-20260703T200602397Z-step2,14909|26800,26800,2026-07-03T14:18:12.000Z,749) $500 1.10m Junior Jumper II.1,2026-07-03,"[""rec8lQxGIu1Nk0uoX""]",749,9:15 am,$500,true,2026-07-03
recYgviQ0Cmz4RMHw,12,"{""event_id"":""59975"",""data_class"":""26966"",""data_name"":""629) 1.00m Jumper II.2b"",""data_time"":""1:15 pm"",""data_entries"":""12""}",14909,643,0,20260703,14909|20260703,wec-step1-20260703T200602397Z-step2,"Friday, July 3, 2026",3598,2026-07-03,1,update_schedule.php,1.00m Jumper II.2b,false,59975,Indoor 5 - Cassie Goebel,14909|2026-07-03|wec-step1-20260703T200602397Z-step2,14909|26966,26966,2026-07-03T18:06:13.000Z,629) 1.00m Jumper II.2b,2026-07-03,"[""rec8lQxGIu1Nk0uoX""]",629,1:15 pm,,true,
recZq2ebw2PB5rxpf,5,"{""event_id"":""59810"",""data_class"":""26913"",""data_name"":""519) Low Adult Equitation 2'6"",""data_time"":""1:00 pm"",""data_entries"":""5""}",14909,645,0,20260703,14909|20260703,wec-step1-20260703T200602397Z-step2,"Friday, July 3, 2026",3610,2026-07-03,1,update_schedule.php,Low Adult Equitation 2'6,false,59810,Indoor 2 - Jo Walker,14909|2026-07-03|wec-step1-20260703T200602397Z-step2,14909|26913,26913,2026-07-03T18:48:16.000Z,519) Low Adult Equitation 2'6,2026-07-03,"[""rec8lQxGIu1Nk0uoX""]",519,1:00 pm,,true,
reca1O00ho2McEzVT,29,"{""event_id"":""59924"",""data_class"":""26823"",""data_name"":""638) $500 1.20m Jumper II.2b"",""data_time"":""2:15 pm"",""data_entries"":""29""}",14909,642,0,20260703,14909|20260703,wec-step1-20260703T200602397Z-step2,"Friday, July 3, 2026",3592,2026-07-03,1,update_schedule.php,1.20m Jumper II.2b,false,59924,Indoor 6 - Brandon Serpico,14909|2026-07-03|wec-step1-20260703T200602397Z-step2,14909|26823,26823,2026-07-03T19:12:10.000Z,638) $500 1.20m Jumper II.2b,2026-07-03,"[""rec8lQxGIu1Nk0uoX""]",638,2:15 pm,$500,true,
recbjOtS8oev9egqP,15,"{""event_id"":""59925"",""data_class"":""26826"",""data_name"":""644) $1000 1.30m Jumper II.2b"",""data_time"":""3:30 pm"",""data_entries"":""15""}",14909,642,0,20260703,14909|20260703,wec-step1-20260703T200602397Z-step2,"Friday, July 3, 2026",3592,2026-07-03,1,update_schedule.php,1.30m Jumper II.2b,1,59925,Indoor 6 - Brandon Serpico,14909|2026-07-03|wec-step1-20260703T200602397Z-step2,14909|26826,26826,2026-07-03T19:42:11.000Z,644) $1000 1.30m Jumper II.2b,2026-07-03,"[""rec8lQxGIu1Nk0uoX""]",644,3:30 pm,$1000,true,
recbv3h2hnHIB0INI,0,"{""event_id"":""65114"",""data_class"":""0"",""data_name"":""Ring Maintenance"",""data_time"":"""",""data_entries"":""0""}",14909,640,0,20260703,14909|20260703,wec-step1-20260703T200602397Z-step2,"Friday, July 3, 2026",3580,2026-07-03,5,update_schedule.php,Ring Maintenance,false,65114,WEC Grand Arena - Nate Poliquin,14909|2026-07-03|wec-step1-20260703T200602397Z-step2,14909|3580|65114,0,2026-07-03T04:00:05.000Z,Ring Maintenance,2026-07-03,,,,,,
reccocqOkxTpbVDWR,2,"{""event_id"":""63429"",""data_class"":""26918"",""data_name"":""524) Children's Pony Equitation 2'6"",""data_time"":""11:15 am"",""data_entries"":""2""}",14909,747,0,20260703,14909|20260703,wec-step1-20260703T200602397Z-step2,"Friday, July 3, 2026",4320,2026-07-03,1,update_schedule.php,Children's Pony Equitation 2'6,false,63429,Indoor 4 - Lucy Bolton,14909|2026-07-03|wec-step1-20260703T200602397Z-step2,14909|26918,26918,2026-07-03T15:42:20.000Z,524) Children's Pony Equitation 2'6,2026-07-03,"[""rec8lQxGIu1Nk0uoX""]",524,11:15 am,,true,
