record_id,show_no,entry_no,entry_display,horse,horse_display,rider,rider_display,trainer,trainer_display,active
rec5U7pN8TJHOvcg6,14909,2029,2029,Cobalto,,Anne L. Bingler,Anne,Anne L. Bingler,Anne L. Bingler,1
rec5W8zVBAHOmlvOQ,14909,2113,2113,Never Ending Story,,Zendaya Horner Brown,Zendaya,Katie Rudnick,Katie Rudnick,1
rec5WKbSvvNAIspHS,14909,2132,2132,Goliath,,Addison Reed,Addison,Addison Reed,Addison Reed,1
rec5WQl0Uwyt03T0k,14909,1098,1098,Royal Mark,,Isaac Leffkowitz,Isaac,Isaac Leffkowitz,Isaac Leffkowitz,1
rec5oUulq4v1aqsIA,14909,3406,3406,Shalako,,,,,,1
rec5pQtQGSG9uVcTL,14909,2930,2930,Miracle Van De Beiaard Z,,Declan Egan,Declan,Declan Egan,Declan Egan,1
rec5pU13zfWM743CN,14909,2292,2292,Icarus,,Bailey P. Tims-Ferira,Bailey,Declan Egan,Declan Egan,1
rec5pmCjObhKYYuY4,14909,2197,2197,King William,,Sharn L. Wordley,Sharn,Sharn L. Wordley,Sharn L. Wordley,1
rec5ppXd3Vi3V3PUp,14909,1878,1878,Futur Du Pomiez,,Reagan Williams,Reagan,Tara G. Bostwick,Tara G. Bostwick,1
rec5uw8rg4rX0wj09,14909,3435,3435,Domingo,,,,,,1
rec5ygHvQHdrPqVbK,14909,2928,2928,Cypress,,Ellery Winkler,Ellery,Declan Egan,Declan Egan,1
rec5zBhR4G8UOqWRu,14909,1628,1628,Milas D,,Jennifer Strickland,Jennifer,Jennifer Strickland,Jennifer Strickland,1
rec66QuE2Mvd77FhV,14909,2959,2959,Wrenwood Blue Dream,,Robert Duffy-Levendorf,Robert,Kelsey Duffy,Kelsey Duffy,1
rec68ZqmBuW0O1kz5,14909,1630,1630,Centro Van De Start Z,Centro Van De Start Z,,,,,1
rec6AV0thciPwtA0u,14909,1545,1545,Quincy Too,,Sarah Callahan,Sarah,Dominique H. Damico,Dominique H. Damico,1
rec6M1TTc7umBP1As,14909,1065,1065,Lord Cageman,,Jingxuan Zhou,Jingxuan,Daniela Roy,Daniela Roy,1
rec6NKXOnzaqgiEpv,14909,3346,3346,Dsh Absolut,,,,,,1
rec6QjeebNQzoD5RS,14909,1791,1791,Kalahari Na,,Katie Drummond,Katie,Jared P. Petersen,Jared P. Petersen,1
rec6Y3LmuGjFdkmyG,14909,2136,2136,Cms Cabernett,,,,,,1
rec6ZGNosqNhhZYIP,14909,1064,1064,Locinthe Vdl,,Clara Vidal,Clara,Daniela Roy,Daniela Roy,1
rec6b9get1DuDSNzS,14909,2612,2612,Marshall,,Timothy Maddrix,Timothy,Timothy Maddrix,Timothy Maddrix,1
rec6hHS0SCHRRJ7RE,14909,3819,3819,Gold Diamant Du Plan D'eau,Gold Diamant Du Plan D'eau,,,,,1
rec6hj42NmyzUpTvg,14909,2880,2880,Valentine Car,,Sharn L. Wordley,Sharn,Sharn L. Wordley,Sharn L. Wordley,1
rec6iwnGhNhMivPK5,14909,1062,1062,Kalibra S,,Frances Derrer,Frances,Daniela Roy,Daniela Roy,1
rec6jFlPCM76WurPT,14909,3157,3157,Lady Bombastic 3,,Robert Blanchette,Robert,Tammy Blanchette,Tammy Blanchette,1
rec6lB3Ic0idF8nNw,14909,3838,3838,Casino Royal,Casino Royal,,,,,1
rec6qEkb6JtyJio2I,14909,2293,2293,Miss Cranny Sarco,,Declan Egan,Declan,Declan Egan,Declan Egan,1
rec6u2HTz330ZyOm3,14909,1293,1293,Getthe Muny Bernie,,Carrie Riddle,Carrie,Lindsay Barrack,Lindsay Barrack,1
rec6uUStMesh3znm5,14909,1907,1907,Wild Kat,,Jamie Alnwick,Jamie,Scott Keach,Scott Keach,1
rec6uoZ2Up2uWPPC2,14909,1548,1548,Tesserae,,,,,,1
rec6wNQ8qnyhIyKnM,14909,3037,3037,Malmo 54,,Tom Monaghan,Tom,Tom Monaghan,Tom Monaghan,1
rec6zjv7j1wAQWFiw,14909,2765,2765,Argon Van De Hunters Z,,,,,,1
rec74jz5MQsVEZGqt,14909,1826,1826,Emi Initia,,Sara Lent,Sara,Lia Screnci,Lia Screnci,1
rec79GI4KSUnzcxKK,14909,1263,1263,Eliott Dz,,Aaron Vale,Aaron,Ben Taylor,Ben Taylor,1
rec7Ab9hWgN2MWcXj,14909,1302,1302,Sweet Caroline Na,,Juliane Stephan,Juliane,Alberto Michan,Alberto Michan,1
rec7AkbkjLTZgFxVv,14909,3026,3026,Frf Wandering Turn,,,,,,1
rec7BwCKMRQDMQgx2,14909,1662,1662,Miles Ahead,,Katherine F. Dewar,Katherine,Kyle Dewar,Kyle Dewar,1
rec7F9hjLstqdYMOO,14909,2147,2147,Princeton,,Lacoste Davis,Lacoste,Christine Davis,Christine Davis,1
rec7HGhhxy0VcsvHr,14909,2945,2945,Koletta,,Stephanie Frey,Stephanie,Stephanie Frey,Stephanie Frey,1
rec7IRQCJhcQjYSyL,14909,158,158,Icare Chavannais,,Priscilla Broger,Priscilla,Priscilla Broger,Priscilla Broger,1
rec7Op9ou8Hbrpp8I,14909,2304,2304,Camden Street,,Phillipa Greenberg,Phillipa,Wendy J. Hechler,Wendy J. Hechler,1
rec7TuJvn6kKhK8Rb,14909,2399,2399,Wineham,,Danae Oliveri,Danae,Jacqueline Steffens Daly,Jacqueline Steffens Daly,1
rec7UiVuyI7IU1Nhe,14909,2817,2817,Viscolano,,,,,,1
rec7WCHHMldON19KP,14909,1149,1149,Diatano,,,,,,1
rec7X3x2xYM9fNfws,14909,1790,1790,Cataumet,,Lauren Schweppe,Lauren,Lauren Schweppe,Lauren Schweppe,1
rec7Xhy1diC2mfn1j,14909,161,161,Jason Brown,,Flavio Montenegro,Flavio,Ben Taylor,Ben Taylor,1
rec7azKaPKmD2cx7o,14909,2712,2712,Il Vole Du Park,,Juan E. Hidalgo,Juan,Juan E. Hidalgo,Juan E. Hidalgo,1
rec7bJLZq70fTkdNS,14909,3222,3222,Velour Hf,,,,,,1
rec7dFt7LqAIZa3sg,14909,189,189,Lyjanair,,Richard A. Spooner,Richard,Richard A. Spooner,Richard A. Spooner,1
rec7enZTdsncgJQcM,14909,2094,2094,Gold Du Rouet,,Taylor St Jacques,Taylor,Andrew C. Welles,Andrew C. Welles,1
rec7oPU2U47Im0jah,14909,1025,1025,Dodicci,Dottie,Carsyn Korotkin,Carsyn,Alan Korotkin,CWF,1
rec7pZYSTNNmPkyu6,14909,2561,2561,Indiscreet,,Spencer Brittan,Spencer,Spencer Brittan,Spencer Brittan,1
rec7vnyr2tVcM6JKv,14909,2361,2361,Casuall,,John Michael Durr,John,John Michael Durr,John Michael Durr,1
rec7xtG00LNziiwOy,14909,1936,1936,Sf Old Fashioned,,Jamie Reinheimer,Jamie,Jamie Reinheimer,Jamie Reinheimer,1
rec7zQax96YuurTYP,14909,2083,2083,Dank's Corner Livin' In The Future,,Laikynn Mixon,Laikynn,Madison Daughdrill,Madison Daughdrill,1
rec81sUUNYt18WiAO,14909,1864,1864,La India Catania,,Celso Ariani,Celso,Celso Ariani,Celso Ariani,1
rec87lHulliESmhfk,14909,283,283,Goliath,Goliath,,,,,1
rec88WmrE0gSWXFHr,14909,2968,2968,Anthem L.a. Z,,Stella Kraemer,Stella,Luciano Dome,Luciano Dome,1
rec8BkNjJAu1oqLly,14909,2157,2157,Streya,,Jacqueline Steffens Daly,Jacqueline,Jacqueline Steffens Daly,Jacqueline Steffens Daly,1
rec8DmkeJuEVF6qQP,14909,2408,2408,Brightest Star Orf Z,,,,,,1
rec8IWsCUcfLNXWe4,14909,1617,1617,Prescott,,,,,,1
rec8LsoJURKHZ44D2,14909,1843,1843,Accelerator,,Fabian Herrera,Fabian,Fabian Herrera,Fabian Herrera,1
rec8MFCog8SGj6oyT,14909,3183,3183,Jason,Jason,,,,,1
rec8OYeF4BnG15lvv,14909,3373,3373,22 Cartagena,,,,,,1
rec8P7VE4xrhSr8iw,14909,2867,2867,Chef Special,,Tracy Fenney,Tracy,Michael J. Mccormick,Michael J. Mccormick,1
rec8PR9MnLxkUXfAc,14909,1037,1037,Insider Bh,Insider,Victoria Rotsaert,Victoria,Alan Korotkin,CWF,1
rec8UGAUAUJ780m3N,14909,1947,1947,Playboy Blue Vh Z,,Casey M. Millis,Casey,Casey M. Millis,Casey M. Millis,1
rec8bEkXQ121XUPro,14909,1823,1823,Aperture Vf,,Lia Screnci,Lia,Lia Screnci,Lia Screnci,1
rec8dMmNDSdG203Mw,14909,2188,2188,Excel Star Herald,,Danielle Platt,Danielle,Danielle Platt,Danielle Platt,1
rec8djTKCR8X4DavJ,14909,2667,2667,Calypso,Calypso,Josephine Demmo,Josephine,Alan Korotkin,CWF,1
rec8dxdOus0dlQQON,14909,2401,2401,Lance Van't Roosakker,,Lola Reardon,Lola,Kimberly Nadler-Russo,Kimberly Nadler-Russo,1
rec8nbieTHlNYfAzC,14909,2534,2534,Callisto De Fetan Z,,Robert Mendoza,Robert,Robert Mendoza,Robert Mendoza,1
rec8q6pzxu3h9BVPr,14909,3422,3422,Fred Astaire,,,,,,1
rec8qHQrDItvdlQoL,14909,1028,1028,Forte,Macho,Carsyn Korotkin,Carsyn,Alan Korotkin,CWF,1
rec8sI9fvIMgzRWtl,14909,3005,3005,Kilmastulla Quality Touch,,Seanna Reser,Seanna,Stacey L. Reser,Stacey L. Reser,1
rec900wy3a31okVGL,14909,1103,1103,Vhf Vegas,,Amelia Khan,Amelia,Morgan Taylor,Morgan Taylor,1
rec93QEULmoP9lVQ5,14909,3014,3014,Hazelberg's Opium Dve,,,,,,1
rec95VcM0BbVFcEui,14909,3394,3394,Joey Van De Nieuwburghoeve,,,,,,1
rec97QFWtimduyHuB,14909,1283,1283,Calais,,Kole Floyd,Kole,Katie Moniz Floyd,Katie Moniz Floyd,1
rec9GEPDxYugGa9EC,14909,1261,1261,Com'on Kylie M,,Sophia Ayers,Sophia,Ben Taylor,Ben Taylor,1
rec9HeW9WlmtzBC08,14909,2368,2368,Cheque,,Jake Evans,Jake,Jake Evans,Jake Evans,1
rec9JEZc89Tnnz4bF,14909,2604,2604,Hand Painted,,Jasmine Walsh,Jasmine,Jasmine Walsh,Jasmine Walsh,1
rec9JhcjVE6MzwKwQ,14909,2367,2367,Khadiri,,Jake Evans,Jake,Jake Evans,Jake Evans,1
rec9Jq5sW41kOXWdv,14909,3425,3425,Kallisti,Kallisti,,,,,1
rec9MCPI5x9Xgr82b,14909,1447,1447,Viva La Vida,,,,,,1
rec9N1Ti4a8Q38uHS,14909,2618,2618,Quina Blue Ps,,Timothy Maddrix,Timothy,Timothy Maddrix,Timothy Maddrix,1
rec9OpY0lz1fUBcMR,14909,2876,2876,Ewsz Omega,,Gonzalo Guevara,Gonzalo,Gonzalo Guevara,Gonzalo Guevara,1
rec9YY2VQtUbQheE9,14909,2927,2927,Dexter,,Jake Evans,Jake,Jake Evans,Jake Evans,1
rec9Z7hwgNj6ebYKl,14909,3392,3392,Zechariah,,,,,,1
rec9d2oNX6g2NauFw,14909,1041,1041,Luminosity Class,Elliot,Tanner Korotkin,Tanner,Alan Korotkin,CWF,1
rec9eOiAQ8imcv9Oj,14909,104,104,Helia Ffh,,Kyle Dewar,Kyle,Kyle Dewar,Kyle Dewar,1
rec9f7ogvI5AiZGXT,14909,1046,1046,Rimini Du Printemps,Rimini,Sophie Heap,Sophie,Alan Korotkin,CWF,1
rec9frvWzFMf9c8Kj,14909,1319,1319,High Time,,Anne C. Hormel,Anne,Camille Maynard,Camille Maynard,1
rec9g3cCnYaJqzg5B,14909,2543,2543,Billy Snowdonia,,Camille Maynard,Camille,Camille Maynard,Camille Maynard,1
rec9nDSYoFWGwzGAh,14909,2303,2303,Nielson Wh,,Margaret L. Swanson,Margaret,Mike Holtkamp,Mike Holtkamp,1
rec9rHx6aDDm4lD8r,14909,1096,1096,Cold Play,,Isaac Leffkowitz,Isaac,Isaac Leffkowitz,Isaac Leffkowitz,1
rec9wFhL93nraod0x,14909,1154,1154,Cinnamon Touch,Cinnamon Touch,,,,,1
rec9xf36CYtWUkvnm,14909,1863,1863,,,,,,,1
recA6Nqh637ic9n2z,14909,2037,2037,Fernhill Touch Of Grandeur,,Kendall Stephens,Kendall,Maya Denis,Maya Denis,1
recA9WN5yyh58eP0i,14909,2365,2365,Qiana,,Marcus Gruenthal,Marcus,Marcus Gruenthal,Marcus Gruenthal,1
recAAbnrLYYBRf9jM,14909,2943,2943,Gladrags,,Stephanie Frey,Stephanie,Stephanie Frey,Stephanie Frey,1
recAEIaYalYre2llI,14909,2709,2709,Cfh Ricardo Two You,,Annika Quanbeck,Annika,Juan E. Hidalgo,Juan E. Hidalgo,1
recAFC6AKzcuuFK3K,14909,2606,2606,Posh,,Josephine Lurie,Josephine,Jasmine Walsh,Jasmine Walsh,1
recAGLH2rzPGwpBsz,14909,3022,3022,Netezwiggy Vd Watermolen,,Dorothy Douglas,Dorothy,Jelmer Hoekstra,Jelmer Hoekstra,1
recAIfwUu5AAKAjz1,14909,2538,2538,Soufriere,Soufriere,,,,,1
recAJVmuF07Cg84od,14909,202,202,Global Ph Cocofino,,Tyla Hackett,Tyla,David Cameron,David Cameron,1
recALnitG3TN7XQ4p,14909,1255,1255,Nr Golden Graham,,Ella de Hechavarria,Ella,Courtney de Hechavarria,Courtney de Hechavarria,1
recARRtM6on1LSMRP,14909,2994,2994,Stapleton Asha,,Lilly Mack,Lilly,Dennis Mitchell,Dennis Mitchell,1
recAUNBS3GXlJCmZj,14909,1430,1430,Karlotta Cl,,Alejandra Ortiz Orozco,Alejandra,Manuel G. Torres,Manuel G. Torres,1
recAZNrHFA3dH55Rq,14909,1795,1795,Mazatlan Ps,,Violetta Bergonzoli,Violetta,Morgan Taylor,Morgan Taylor,1
recAZsGtb0YW2qXwB,14909,2252,2252,Talk Soon,,,,,,1
recAaq5pWLL9bFKdl,14909,1439,1439,Il Dolce,,Lauren Flesher,Lauren,Matthew Le Master,Matthew Le Master,1
recAf5xbq5TLnFkW9,14909,168,168,Chatadel Ps,,Erynn L. Ballard,Erynn,Sydney Rowland,Sydney Rowland,1
recAh6G3L98CK7aqL,14909,1728,1728,Simpatico,,Stephanie Frey,Stephanie,Stephanie Frey,Stephanie Frey,1
recAidguejIm7wohx,14909,3906,3906,Thunderstroc Usa,Thunderstroc Usa,,,,,1
recAj54jGkp8UD0u9,14909,2797,2797,Jolita,,Grace Everhart,Grace,Rob Billings,Rob Billings,1
recAlA8aDSqItWKLd,14909,1918,1918,The Flying Dutchman,,Bryce P. Richardson,Bryce,Bryce P. Richardson,Bryce P. Richardson,1
recAqDdmBqy3B5hH6,14909,1567,1567,Octavius Scf,,Antonio J. Martinez,Antonio,Antonio J. Martinez,Antonio J. Martinez,1
recAroYe1116GH63r,14909,2905,2905,Filou Moussardiere,,,,,,1
recAvz0vP9muqD2vt,14909,110,110,Maestro B,,Diego Loria,Diego,Juan A. Rodriguez Silva,Juan A. Rodriguez Silva,1
recB0RNekTiukvqCp,14909,170,170,Genius De Rance,,Erynn L. Ballard,Erynn,Sydney Rowland,Sydney Rowland,1
recB4gLYkAbUQD5P7,14909,3328,3328,Ardeo Taycan,,,,,,1
recB8gxG5LW95xbnl,14909,2818,2818,Fearless,,,,,,1
recBEFytHdCyQqvMe,14909,218,218,Santana,,Elli Yeager,Elli,Amanda Flint,Amanda Flint,1
recBKYF2PYQxmUqv0,14909,101,101,Jip Van T & L Z,,Celso Ariani,Celso,Celso Ariani,Celso Ariani,1
recBPLymAty28jZIq,14909,1572,1572,Unica Z,,Antonio J. Martinez,Antonio,Antonio J. Martinez,Antonio J. Martinez,1
recBRYaumBF4oWkcx,14909,2738,2738,Captivate,,,,,,1
recBaBPQ2PRwMqdhN,14909,3218,3218,Syncopation,,,,,,1
recBc8B5JwLXimn9V,14909,3003,3003,Leporsche Th,,Ella Saidi,Ella,Raishun Burch,Raishun Burch,1
