class_label,class_number,class_name,result_entry_count,class_no,sect_no,has_score,has_prize
208) $300 Child Hunter 15-17 3',208,$300 Child Hunter 15-17 3',4,28992,10516,true,true
209) $200 Child Hunter 15-17 U/S 3',209,$200 Child Hunter 15-17 U/S 3',4,28993,10516,true,true
"210) $100 Child Pony Hunter 2'/2'6""",210,"$100 Child Pony Hunter 2'/2'6""",7,33531,12049,false,true
"211) $100 Child Pony Hunter 2'/2'6"" (1st rnd Classic)",211,"$100 Child Pony Hunter 2'/2'6"" (1st rnd Classic)",7,33532,12049,false,true
"212) $100 Child Pony Hunter 2'/2'6""",212,"$100 Child Pony Hunter 2'/2'6""",7,33533,12049,true,true
"213) $100 Child Pony Hunter 2'/2'6""",213,"$100 Child Pony Hunter 2'/2'6""",7,33534,12049,true,true
"214) $50 Child Pony Hunter 2'/2'6"" U/S",214,"$50 Child Pony Hunter 2'/2'6"" U/S",7,33535,12049,false,true
220) $300 Adult Hunter 18-35 3',220,$300 Adult Hunter 18-35 3',14,28994,10519,true,true
221) $300 Adult Hunter 18-35 (1st rnd Classic) 3',221,$300 Adult Hunter 18-35 (1st rnd Classic) 3',14,28995,10519,true,true
222) $300 Adult Hunter 18-35 3',222,$300 Adult Hunter 18-35 3',14,28996,10519,true,true
223) $300 Adult Hunter 18-35 3',223,$300 Adult Hunter 18-35 3',14,28998,10519,true,true
224) $200 Adult Hunter 18-35 U/S 3',224,$200 Adult Hunter 18-35 U/S 3',12,28999,10519,true,true
225) $300 Adult Hunter 36-54 3',225,$300 Adult Hunter 36-54 3',4,29000,10521,true,true
226) $300 Adult Hunter 36-54(1st rnd Classic) 3',226,$300 Adult Hunter 36-54(1st rnd Classic) 3',4,29001,10521,true,true
227) $300 Adult Hunter 36-54 3',227,$300 Adult Hunter 36-54 3',3,29002,10521,true,true
228) $300 Adult Hunter 36-54 3',228,$300 Adult Hunter 36-54 3',3,29003,10521,true,true
229) $200 Adult Hunter 36-54 U/S 3',229,$200 Adult Hunter 36-54 U/S 3',4,29004,10521,true,true
230) $300 Adult Hunter 55+ 3',230,$300 Adult Hunter 55+ 3',5,29005,10522,true,true
231) $300 Adult Hunter 55+ (1st rnd Classic) 3',231,$300 Adult Hunter 55+ (1st rnd Classic) 3',5,29006,10522,true,true
232) $300 Adult Hunter 55+ 3',232,$300 Adult Hunter 55+ 3',5,29007,10522,true,true
233) $300 Adult Hunter 55+ 3',233,$300 Adult Hunter 55+ 3',5,29008,10522,true,true
234) $200 Adult Hunter 55+ U/S 3',234,$200 Adult Hunter 55+ U/S 3',5,29009,10522,true,true
"245) USHJA Hunter 3'3""",245,"USHJA Hunter 3'3""",13,29071,10438,true,false
"246) USHJA Hunter 3'3""",246,"USHJA Hunter 3'3""",11,29072,10438,true,false
"247) USHJA Hunter 3'3""",247,"USHJA Hunter 3'3""",20,29074,10438,true,false
"248) USHJA Hunter 3'3""",248,"USHJA Hunter 3'3""",17,29075,10438,true,false
"249) USHJA Hunter 3'3"" U/S",249,"USHJA Hunter 3'3"" U/S",4,29076,10438,true,false
250) Future Hunter 2',250,Future Hunter 2',6,29041,10535,false,false
251) Future Hunter 2',251,Future Hunter 2',6,29042,10535,false,false
252) Future Hunter 2',252,Future Hunter 2',7,29043,10535,false,false
253) Future Hunter 2',253,Future Hunter 2',7,29044,10535,false,false
254) Future Hunter 2' U/S,254,Future Hunter 2' U/S,5,29045,10535,false,false
255) USHJA Hunter 2',255,USHJA Hunter 2',16,29051,10534,false,false
256) USHJA Hunter 2',256,USHJA Hunter 2',13,29052,10534,false,false
257) USHJA Hunter 2',257,USHJA Hunter 2',24,29053,10534,false,false
258) USHJA Hunter 2',258,USHJA Hunter 2',20,29054,10534,false,false
259) USHJA Hunter 2 U/S,259,USHJA Hunter 2 U/S,14,29055,10534,false,false
"260) USHJA Hunter 2'3""",260,"USHJA Hunter 2'3""",11,29056,10441,false,false
"261) USHJA Hunter 2'3""",261,"USHJA Hunter 2'3""",10,29057,10441,false,false
"262) USHJA Hunter 2'3""",262,"USHJA Hunter 2'3""",10,29058,10441,false,false
"263) USHJA Hunter 2'3""",263,"USHJA Hunter 2'3""",9,29059,10441,false,false
"264) USHJA Hunter 2'3"" U/S",264,"USHJA Hunter 2'3"" U/S",7,29060,10441,false,false
"265) USHJA Hunter 2'6""",265,"USHJA Hunter 2'6""",20,29061,10533,false,false
"266) USHJA Hunter 2'6""",266,"USHJA Hunter 2'6""",17,29062,10533,false,false
"267) USHJA Hunter 2'6""",267,"USHJA Hunter 2'6""",23,29063,10533,false,false
