class_number,class_name,entry_count,class_no,sect_no
685,1.0m Young Jumpers II,6,28830,0
686,1.10m Young Jumpers II,11,28336,10302
687,1.10m Young Jumpers II,12,28337,10302
688,1.10m YoungJumpers II,12,28338,10302
689,1.20m Young Jumpers II.1,20,28339,10304
690,1.20m Young Jumpers II.2d,24,28340,10304
691,1.20m Young Jumpers II.2b,17,28341,10304
692,1.30m Young Jumper II.1,5,28342,10305
693,1.30m Young Jumper II.2d,6,28343,10305
694,1.30m Young Jumper II.2b,6,28344,10305
695,Thoroughbred Jumper 1.0m II.1,0,28616,10255
696,Thoroughbred Jumper 1.0m II.2d,0,28617,10255
697,Thoroughbred Jumper 1.0m II.2b,0,28618,10255
731,.90m Novice Junior/Amateur Jumper II.1,16,28798,10308
732,.90m Novice Junior/Amateur Jumper II.2d,11,28799,10308
737,1.00m Junior/Amateur Jumper II.1,19,28795,10310
738,1.00m Junior/Amateur Jumper II.2d,28,28796,10310
749,1.10m Junior/Amateur Jumper II.1,21,28784,10299
750,1.10m Junior/Amateur Jumper II.2d,28,28785,10299
757,1.15m Junior/Amateur Jumper II.1,7,28595,10256
758,1.15m Junior/Amateur Jumper II.2d,12,28596,10256
768,1.20m Junior/Amateur Jumper II.1,17,28787,10290
769,1.20m Junior/Amateur Jumper II.2d,15,28788,10290
775,1.30m Junior/Amateur Jumper II.1,8,28589,10283
776,1.30m Junior/Amateur Jumper II.2d,7,28590,10283
781,1.40m Junior/Amateur Jumper II.1,3,28586,10278
782,1.40m Junior/Amateur Jumper II.2d,2,28587,10278
804,$3500 C. Jarvis Insurance Welcome Prix 1.30m II.2b,42,28660,0
805,"$16,999 Golden Ocala Grand Prix 1.35/1.40m II.2a Reg Std",60,28661,0
809,.95m Novice Junior/Amateur Jumper Classic II.2b,12,28800,10308
811,$500 1.05m Junior/Amateur Jumper II.2b,21,28797,10310
813,$500 1.10m Jr/Am Classic II.2b,24,28786,10299
816,$500 1.15m Junior/Amateur Classic II.2b,12,28597,10256
817,.65m Jr/Am Long Creek Farm Jumper Classic II.2b,5,28578,0
818,.75m Jr/Am Jumper Classic II.2b,8,28581,0
820,.85m Jr/Am Jumper Classic II.2b,13,28754,0
851,$1000 FreeRide Equestrian 1.25m Jr/Am Jumper Classic II.2b,20,28789,10290
853,$1000 Prestige Italia 1.35m1.45m Jr/Am Classic II.2b,8,28591,10283
900,Short/Long Stirrup Hunter 2',13,28845,10374
901,Short/Long Stirrup Hunter 2' (1st rnd Classic) 2',12,28851,10374
902,Short/Long Stirrup Hunter 2',14,28852,10374
903,Short/Long Stirrup Hunter 2',13,28853,10374
904,Short/Long Stirrup Hunter 2' U/S,11,28854,10374
910,Short/Long Stirrup Equitation 2',11,28575,10295
911,Short/Long Stirrup Equitation 2',11,28630,10295
912,Short/Long Stirrup Equitation Flat,10,28645,10295
916,Opportunity Crossrails 18,0,33415,11978
917,"Opportunity Crossrails 18""",0,33416,11978
918,"Opportunity Crossrails 18""",0,33417,11978
919,"Opportunity Crossrails 18""",0,33418,11978
920,"Opportunity Crossrails 18"" U/S",0,33419,11978
926,Short Stirrup/Long Stirrup Classic 2',10,28672,0
927,Walk Trot Equitation Ground Rails,3,28718,10291
928,Walk Trot Equitation Ground Rails,3,28719,10291
929,Walk Trot Equitation Ground Rails,3,28720,10291
930,Walk Trot Equitation Ground Rails,3,28721,10291
931,Walk Trot Equitation Ground Rails Flat,3,33461,10291
2001,Leadline,4,28717,0
