record_id,show_no,trainer,trainer_display,tag,active
recZ3kmzycB7xwLfv,14907,Danielle Platt,Danielle Platt,,0
recZ41cgnoPOR4VSU,14907,Fabian Herrera,Fabian Herrera,,0
recZ63wDzSxekmuT7,14907,Stephanie King,Stephanie King,,0
recZAL84Ujr0QX9cW,14907,Gaston Escamez,Gaston Escamez,,0
recb5ZCQtoQItOePu,14907,Jordan Melfi,Jordan Melfi,,0
recbDjphoL8qMtSeW,14907,Megan Wexler,Megan Wexler,,0
recbHXO4TfreVzAVE,14907,Alyssa Amberge,Alyssa Amberge,,0
recbqlRFLweeL4BNZ,14907,Stefanie L. Collier,Stefanie L. Collier,,0
recc7BtlSMC456iwd,14907,Robert Mendoza,Robert Mendoza,,0
reccPpBL4rQYdBMJP,14907,Alison Jones,Alison Jones,,0
reccRPUdMRZMCiJuf,14907,Benjamin J. Meredith,Benjamin J. Meredith,,0
reccVab1jS62QQ5la,14907,Juan Benítez,Juan Benítez,,0
recclCEkrFrjDDv36,14907,Captain Brian Cournane,Captain Brian Cournane,,0
reccnhZlVCHJXjTVi,14907,Taryn M. Adamy,Taryn M. Adamy,,0
reccxT6yO7DM4d3NC,14907,Alyssa Pascucci,Alyssa Pascucci,,0
recdHGo38u6gzbP2H,14907,Taylor Manning,Taylor Manning,,0
recdxilKHsN0qZ3Fz,14907,Stacey L. Reser,Stacey L. Reser,,0
rece9iPIoEEaCPIqS,14907,Hanna R. Egan,Hanna R. Egan,,0
receCZCsNdOQDE9z9,14907,Camille Maynard,Camille Maynard,,0
receaA0lDaK9CffNz,14907,Daniel Michan,Daniel Michan,,0
recel7Tui1CFiT95R,14907,August Torsilieri,August Torsilieri,,0
recfAVsjydccXTqve,14907,Hector Florentino,Hector Florentino,,0
recfC6qStEmrNdY3c,14907,Megan Gardiner,Megan Gardiner,,0
recfKINr0VpNjmEXZ,14907,Michael Connors,Michael Connors,,0
recfWYHJT3O9VG1TG,14907,Thea N. Stinnett,Thea N. Stinnett,,0
recg0VzaMYRIuLt14,14907,Luis Pedro Biraben,Luis Pedro Biraben,,0
recgDRmlgICPwHaba,14907,Caroline Willard Briles,Caroline Willard Briles,,0
recgLDs1PX5pujyno,14907,Mario Garcia,Mario Garcia,,0
recgYbnUCVZoIzP1M,14907,Joshua Tabor,Joshua Tabor,,0
